full_name,ext_neg_dec,width_basis,positive_dec
BUV395-A,0.5,-30,4.5
BUV496-A,0.5,-30,4.5
BUV563-A,0.5,-30,4.5
BUV615-A,0.5,-30,4.5
BUV661-A,0.5,-30,4.5
BUV737-A,0.5,-30,4.5
BUV805-A,0.5,-30,4.5
BV421-A,0.5,-30,4.5
BV480-A,0.5,-30,4.5
BV510-A,0.5,-30,4.5
BV570-A,0.5,-30,4.5
BV605-A,0.5,-30,4.5
BV650-A,0.5,-30,4.5
BV711-A,0.5,-30,4.5
BV750-A,0.5,-30,4.5
BV786-A,0.5,-30,4.5
BB515-A,0.5,-30,4.5
BB660-A,0.5,-30,4.5
BB700-A,0.5,-30,4.5
BB790-A,0.5,-30,4.5
PE-A,0.5,-30,4.5
PE-CF594-A,0.5,-30,4.5
PE-Cy5-A,0.5,-30,4.5
PE-Cy5.5-A,0.5,-30,4.5
PE-Cy7-A,0.5,-30,4.5
APC-A,0.5,-30,4.5
AF700-A,0.5,-30,4.5
APC-f750-A,0.5,-30,4.5
