,AF700-A :: ki67,APC-A :: Tbet,APC-f750-A :: GzmB,BB515-A :: PD1,BB660-A :: Lag3,BB700-A :: CD127,BB790-A :: CD38,BUV395-A :: CD45RA,BUV496-A :: CD4,BUV563-A :: ICOS,BUV615-A :: CD25,BUV661-A :: Tim3,BUV737-A :: CD27,BUV805-A :: CD8,BV421-A :: CD57,BV480-A :: CXCR5,BV510-A :: LD,BV570-A :: CD14 19,BV605-A :: CCR4,BV650-A :: CCR7,BV711-A :: HLADR,BV750-A :: CD3,BV786-A :: CD28,PE-A :: TIGIT,PE-CF594-A :: Eomes,PE-Cy5-A :: CTLA4,PE-Cy5.5-A :: FoxP3,PE-Cy7-A :: GITR
AF700-A :: ki67,1,0.0248301,0.249284,0.00967922,0.00268438,0.0473248,0.0173077,0.00181387,0.00181722,0.00145041,0.00249455,0.00220337,0.138716,0.0331042,0.0000511994,0.0033902,0.00260901,0.00245899,0.00358515,0.00445768,0.21273,0.0848399,0.0439476,0.00684074,0.0292636,0.0164829,0.326051,0.103233
APC-A :: Tbet,0.132334,1,0.0337338,-0.000160633,0.0159855,0.00443383,0.00122597,0.000471851,-0.0000518352,-0.0000325396,0.00127167,0.114363,0.0221613,0.00527436,-0.000409868,0.000113668,0.0000437466,0.0000585607,0.00085079,0.138441,0.0285134,0.00973321,0.00417643,0.000280757,0.00541964,0.267747,0.0810869,0.0215633
APC-f750-A :: GzmB,0.0868539,0.138732,1,-0.00176707,0.00222729,0.00135711,0.0527278,0.00701635,-0.000355365,-0.00100153,0.000055023,0.0139487,0.0317988,0.249248,-0.00788098,0.00311889,0.00152763,-0.000931873,0.000173277,0.0163506,0.00586523,0.0638759,0.226547,-0.00246056,0.0074334,0.04937,0.0225955,0.609145
BB515-A :: PD1,-0.0000011567,0.0000087838,-0.0000034633,1,0.00737752,0.0016054,0.000259797,0.000488654,0.00992731,0.00245334,0.00152559,0.000265054,-0.0000015265,-0.000011894,-0.000313395,0.000190708,0.00334812,0.000884301,0.000579157,0.000126033,0.0000085613,-0.0000102317,-0.0000194972,-0.000126331,-0.0000783382,-0.0000668526,-0.0000301727,-0.0000121999
BB660-A :: Lag3,0.0887227,0.593124,0.0200381,0.0146182,1,0.299259,0.0725687,0.000750601,0.000469872,0.00591621,0.0130224,0.199251,0.0328067,0.00841315,-0.000818947,0.000388549,0.00212014,0.0271519,0.0490954,0.692174,0.161692,0.0423041,0.0202054,0.00012476,0.00178335,0.0725687,0.0216664,0.00519117
BB700-A :: CD127,0.156721,0.103493,0.0516101,0.0217947,0.237588,1,0.305046,0.00137184,0.000533863,0.00768645,0.0123748,0.0428458,0.10268,0.0347818,-0.00140587,0.000586408,0.00301256,0.0365599,0.0591123,0.173298,0.556872,0.149641,0.0827345,0.000280215,0.000749651,0.0213325,0.0647322,0.0192574
BB790-A :: CD38,0.00768727,0.0193003,0.0349874,0.0528836,0.0710995,0.0502619,1,0.00209881,0.00245469,0.0113829,0.016154,0.0146082,0.0438512,0.200196,0.03,0.013738,0.00494921,0.0297942,0.0435257,0.0488238,0.0275898,0.157377,0.32,0.00784545,0.00833031,0.00586199,0.00273473,0.0239552
BUV395-A :: CD45RA,-0.0000397306,-0.0000908601,-0.0000480121,-0.000354928,-0.000302965,-0.000153987,0.0000031815,1,0.0554187,0.00764453,0.00478048,0.00107185,0.000118867,0.000102188,0.00278182,0.00208318,0.000476822,0.000152133,0.0000253224,-0.0000820849,-0.000158152,0.0000023572,-0.0000473557,-0.000820269,-0.000578163,-0.000316921,-0.000194081,-0.0000682352
BUV496-A :: CD4,-0.000170875,-0.000156429,-0.0000728591,0.0957764,0.00133785,-0.0000451891,0.0000625497,0.0987474,1,0.365217,0.268124,0.0626474,0.00757148,0.00209299,-0.000520714,0.0739427,0.111638,0.0481571,0.0382096,0.010877,0.00177501,0.000190057,-0.000306013,-0.00219356,-0.00156496,-0.00103874,-0.000787568,-0.000383751
BUV563-A :: ICOS,-0.0000303929,0.0000156211,-0.000006561,0.00166836,0.0242316,0.00600392,0.00102481,0.057067,0.0135061,1,0.801998,0.176471,0.0160286,0.00416364,0.000175302,0.000779602,0.000283422,0.0319227,0.0253748,0.00698563,0.0014131,0.00022289,0.000079936,0.596597,0.361606,0.053482,0.0118256,0.00230218
BUV615-A :: CD25,0.00188377,0.0104649,0.000446188,-0.000136853,0.00865835,0.00294497,0.000566486,0.0146618,0.00236745,0.127502,1,0.308511,0.044263,0.0107449,-0.000239673,0.0003081,0.000158664,0.00617956,0.0529439,0.0251154,0.00640066,0.00153283,0.000637276,0.150273,0.524636,0.127041,0.038713,0.00833019
BUV661-A :: Tim3,0.0716728,0.413412,0.0159599,0.000211115,0.0144842,0.00532708,0.00111836,0.020613,0.00404929,0.00319467,0.050497,1,0.179399,0.0421779,-0.00024879,0.000493886,0.000192803,0.00026333,0.00172809,0.0821198,0.0212455,0.00533407,0.0023747,0.000904487,0.0081589,0.129609,0.0469461,0.00983433
BUV737-A :: CD27,0.092938,0.0017169,0.040184,-0.000194453,0.000174362,0.0605855,0.0583387,0.0457026,0.00807775,0.00291077,0.00611539,0.00773077,1,0.335491,-0.000634979,0.00100461,0.000570701,0.000128647,0.000130938,0.000168492,0.0289365,0.0330411,0.0164371,-0.000219964,0.00109293,0.00105708,0.0155556,0.0120126
BUV805-A :: CD8,0.0014882,0.000244068,0.0291305,-0.000338491,-0.0000423913,0.000006192,0.00786824,0.152528,0.025541,0.0088189,0.00979631,0.00342423,0.020037,1,0.00078023,0.00235894,0.000599444,0.000438039,0.000238396,0.0000255093,-0.000054924,0.00145854,0.0318866,0.000166491,0.000985399,0.0000241638,0.0000865425,0.0093979
BV421-A :: CD57,-0.0000458681,-0.000037446,0.0000044827,-0.000231336,-0.000108696,-0.0000256252,0.0000224736,0.00138078,0.0203413,0.00332902,0.00200655,0.000352226,-0.0000383712,-0.0000094622,1,0.259112,0.0343013,0.00707011,0.00516549,0.00139979,0.000343802,0.000106304,0.0000616866,-0.000634983,-0.000400289,-0.000195171,-0.0000776933,-0.0000345835
BV480-A :: CXCR5,-0.0000392074,-0.000339299,-0.000130588,0.07417,0.00102894,0.000124956,0.000037386,0.00397276,0.150035,0.0540699,0.0443462,0.0110996,0.00118442,0.0000903918,0.0328934,1,0.509955,0.208648,0.183489,0.0517878,0.0107909,0.0022372,0.000771069,-0.00272704,-0.00137957,-0.000899502,-0.000511925,-0.000320846
BV510-A :: LD,0.0000399142,0.0000373202,0.0000098033,0.00791125,0.000575615,0.00018305,0.0000642423,0.00083235,0.142374,0.0781014,0.0585453,0.0134679,0.00160638,0.000470613,0.0312078,0.511981,1,0.585075,0.457877,0.117909,0.0198026,0.00438332,0.00206777,0.000734193,0.000717537,0.000309406,0.000102978,0.0000677227
BV570-A :: CD14 19,-0.0000195859,-0.0000432965,-0.000026988,-0.000243723,0.0305622,0.00898102,0.00167519,0.00212795,0.00219612,0.336621,0.325082,0.0938512,0.0118768,0.00312652,0.294131,0.0771052,0.0105009,1,0.938126,0.366694,0.0793858,0.0187543,0.0089296,0.76537,0.554055,0.109151,0.0285402,0.00654611
BV605-A :: CCR4,0.000373103,0.00283992,0.0000574537,-0.00039872,0.0206667,0.0063287,0.00146373,0.00145087,0.000321298,0.124272,0.432763,0.188787,0.0295693,0.00892535,0.0639988,0.0167879,0.00243152,0.271032,1,0.559945,0.129191,0.0340905,0.0178946,0.254213,0.453597,0.121365,0.0352925,0.00952471
BV650-A :: CCR7,0.024947,0.141986,0.00586113,-0.000144804,0.00752309,0.00249028,0.000420274,0.00056978,0.000527449,0.0015204,0.0634963,0.379917,0.0509028,0.0120807,0.0745601,0.0196639,0.00267944,0.00409261,0.102064,1,0.249314,0.0554632,0.0249019,0.00139834,0.0156155,0.0723832,0.0228208,0.00493623
BV711-A :: HLADR,0.142797,0.00778301,0.042954,-0.000232658,0.000599928,0.0523583,0.0212145,0.00124739,0.00121889,0.000318952,0.000281952,0.00834336,0.358429,0.120486,0.175048,0.0455151,0.006382,0.00193257,0.00181694,0.0258669,1,0.353401,0.229209,-0.000155164,-0.00010814,0.00144939,0.0294488,0.0110223
BV750-A :: CD3,0.0267505,-0.000190386,0.0320051,-0.000578142,-0.000442366,0.0141867,0.0533999,0.00254333,0.00171614,0.000849586,0.000697057,0.000228257,0.397713,0.231938,0.164162,0.0439226,0.0067629,0.00332289,0.00369302,0.00225377,0.269688,1,0.520676,-0.00110044,-0.000467482,-0.000454062,0.00300004,0.0108283
BV786-A :: CD28,0.00543321,0.00085875,0.0407434,-0.000103106,-0.00018747,0.000740567,0.0327007,0.00244954,0.00219287,0.00140705,0.00136453,0.00143803,0.0833593,0.437018,0.218063,0.0573902,0.00897809,0.00439112,0.0050666,0.00618139,0.029472,0.383526,1,-0.00032819,0.0000023806,0.000112239,0.000395568,0.0178838
