"marker","n_peaks","pos_peak_threshold_pre","neg_peak_loc","unimodal_cut_right","pos_peak_threshold"
"CD45RA",1,1352.52156935629,1209.16020822208,FALSE,1352.52156935629
"ICOS",1,1384.51917240896,1235.00677788679,TRUE,1800
"CD25",2,1255.06095448861,1122.96315664351,FALSE,1255.06095448861
"TIM3",1,1189.17844471198,1075.95081060853,TRUE,1800
"CD27",2,1780.56639173857,1008.86252263398,FALSE,1780.56639173857
"CD57",2,1743.84556003666,1318.45647421046,FALSE,1743.84556003666
"CXCR5",2,1404.64424008448,1202.58403339911,TRUE,1800
"CCR4",2,1435.42826107057,1277.04661388549,FALSE,1435.42826107057
"CCR7",1,1487.37192276422,1151.53741173472,FALSE,1487.37192276422
"HLADR",1,1247.52991963057,1117.53033030659,TRUE,1800
"CD28",2,1657.57727488932,1084.27262881075,FALSE,1657.57727488932
"PD1",2,1598.51298627299,1360.17118023595,TRUE,1800
"LAG3",1,1423.03257425112,1175.90594837131,TRUE,1800
"CD127",2,1469.24615716377,1085.63509995184,FALSE,1469.24615716377
"CD38",2,1258.82441754795,1081.93780227069,FALSE,1258.82441754795
"TIGIT",1,1435.36745636012,989.658133609108,FALSE,1435.36745636012
"EOMES",1,1654.79512874262,1124.30806865658,FALSE,1654.79512874262
"CTLA4",1,1217.17501209559,1070.93440925569,TRUE,1800
"FOXP3",1,1372.90383613904,1191.67570953116,TRUE,1800
"GITR",1,1088.25640363662,1004.52189067625,TRUE,1800
"TBET",1,1537.10117500536,1086.95028245946,FALSE,1537.10117500536
"KI67",1,1262.43980814544,1119.90613578725,TRUE,1800
"GZM_B",1,1422.30189928882,1118.12443021846,FALSE,1422.30189928882
